
 1500 atoms
 1475 bonds
 1950 angles
 1375 impropers
 3 atom types
 3 bond types
 6 angle types
 3 improper types
 0.000000 29.793000 xlo xhi
 0.000000 26.608500 ylo yhi
 0.000000 311.655006 zlo zhi

 Atoms # full

1 1 1 0.00 3.010 2.320 55.320 #  CL1
2 1 2 0.00 1.080 4.350 54.420 #  CL2
3 1 3 0.00 4.440 1.300 54.200 #  CL3
4 2 1 0.00 2.170 3.420 60.520 #  CL1
5 2 2 0.00 4.120 1.450 59.590 #  CL2
6 2 3 0.00 0.720 4.350 59.480 #  CL3
7 3 1 0.00 3.010 2.320 65.710 #  CL1
8 3 2 0.00 1.080 4.350 64.800 #  CL2
9 3 3 0.00 4.440 1.300 64.590 #  CL3
10 4 1 0.00 2.170 3.420 70.910 #  CL1
11 4 2 0.00 4.120 1.450 69.980 #  CL2
12 4 3 0.00 0.720 4.350 69.870 #  CL3
13 5 1 0.00 3.010 2.320 76.100 #  CL1
14 5 2 0.00 1.080 4.350 75.190 #  CL2
15 5 3 0.00 4.440 1.300 74.980 #  CL3
16 6 1 0.00 2.170 3.420 81.300 #  CL1
17 6 2 0.00 4.120 1.450 80.370 #  CL2
18 6 3 0.00 0.720 4.350 80.260 #  CL3
19 7 1 0.00 3.010 2.320 86.490 #  CL1
20 7 2 0.00 1.080 4.350 85.580 #  CL2
21 7 3 0.00 4.440 1.300 85.370 #  CL3
22 8 1 0.00 2.170 3.420 91.690 #  CL1
23 8 2 0.00 4.120 1.450 90.760 #  CL2
24 8 3 0.00 0.720 4.350 90.650 #  CL3
25 9 1 0.00 3.010 2.320 96.870 #  CL1
26 9 2 0.00 1.080 4.350 95.970 #  CL2
27 9 3 0.00 4.440 1.300 95.750 #  CL3
28 10 1 0.00 2.170 3.430 102.070 #  CL1
29 10 2 0.00 4.120 1.450 101.140 #  CL2
30 10 3 0.00 0.720 4.350 101.040 #  CL3
31 11 1 0.00 3.010 2.320 107.260 #  CL1
32 11 2 0.00 1.080 4.350 106.360 #  CL2
33 11 3 0.00 4.440 1.300 106.140 #  CL3
34 12 1 0.00 2.170 3.420 112.460 #  CL1
35 12 2 0.00 4.120 1.450 111.530 #  CL2
36 12 3 0.00 0.720 4.350 111.420 #  CL3
37 13 1 0.00 3.010 2.320 117.650 #  CL1
38 13 2 0.00 1.080 4.350 116.750 #  CL2
39 13 3 0.00 4.440 1.300 116.530 #  CL3
40 14 1 0.00 2.170 3.420 122.850 #  CL1
41 14 2 0.00 4.120 1.450 121.920 #  CL2
42 14 3 0.00 0.720 4.350 121.810 #  CL3
43 15 1 0.00 3.010 2.320 128.040 #  CL1
44 15 2 0.00 1.080 4.350 127.140 #  CL2
45 15 3 0.00 4.440 1.300 126.920 #  CL3
46 16 1 0.00 2.170 3.420 133.240 #  CL1
47 16 2 0.00 4.120 1.450 132.310 #  CL2
48 16 3 0.00 0.720 4.350 132.200 #  CL3
49 17 1 0.00 3.010 2.320 138.430 #  CL1
50 17 2 0.00 1.080 4.350 137.520 #  CL2
51 17 3 0.00 4.440 1.300 137.310 #  CL3
52 18 1 0.00 2.170 3.420 143.630 #  CL1
53 18 2 0.00 4.120 1.450 142.700 #  CL2
54 18 3 0.00 0.720 4.350 142.590 #  CL3
55 19 1 0.00 3.010 2.320 148.820 #  CL1
56 19 2 0.00 1.080 4.350 147.910 #  CL2
57 19 3 0.00 4.440 1.300 147.700 #  CL3
58 20 1 0.00 2.170 3.420 154.020 #  CL1
59 20 2 0.00 4.120 1.450 153.090 #  CL2
60 20 3 0.00 0.720 4.350 152.980 #  CL3
61 21 1 0.00 3.010 7.640 55.320 #  CL1
62 21 2 0.00 1.080 9.670 54.420 #  CL2
63 21 3 0.00 4.440 6.620 54.200 #  CL3
64 22 1 0.00 2.170 8.740 60.520 #  CL1
65 22 2 0.00 4.120 6.770 59.590 #  CL2
66 22 3 0.00 0.720 9.680 59.480 #  CL3
67 23 1 0.00 3.010 7.640 65.710 #  CL1
68 23 2 0.00 1.080 9.670 64.800 #  CL2
69 23 3 0.00 4.440 6.620 64.590 #  CL3
70 24 1 0.00 2.170 8.740 70.910 #  CL1
71 24 2 0.00 4.120 6.770 69.980 #  CL2
72 24 3 0.00 0.720 9.680 69.870 #  CL3
73 25 1 0.00 3.010 7.640 76.100 #  CL1
74 25 2 0.00 1.080 9.670 75.190 #  CL2
75 25 3 0.00 4.440 6.620 74.980 #  CL3
76 26 1 0.00 2.170 8.740 81.300 #  CL1
77 26 2 0.00 4.120 6.770 80.370 #  CL2
78 26 3 0.00 0.720 9.670 80.260 #  CL3
79 27 1 0.00 3.010 7.640 86.490 #  CL1
80 27 2 0.00 1.080 9.670 85.580 #  CL2
81 27 3 0.00 4.440 6.620 85.370 #  CL3
82 28 1 0.00 2.170 8.740 91.690 #  CL1
83 28 2 0.00 4.120 6.770 90.760 #  CL2
84 28 3 0.00 0.720 9.680 90.650 #  CL3
85 29 1 0.00 3.010 7.640 96.870 #  CL1
86 29 2 0.00 1.080 9.670 95.970 #  CL2
87 29 3 0.00 4.440 6.620 95.750 #  CL3
88 30 1 0.00 2.170 8.750 102.070 #  CL1
89 30 2 0.00 4.120 6.770 101.140 #  CL2
90 30 3 0.00 0.720 9.680 101.040 #  CL3
91 31 1 0.00 3.010 7.640 107.260 #  CL1
92 31 2 0.00 1.080 9.670 106.360 #  CL2
93 31 3 0.00 4.440 6.620 106.140 #  CL3
94 32 1 0.00 2.170 8.740 112.460 #  CL1
95 32 2 0.00 4.120 6.770 111.530 #  CL2
96 32 3 0.00 0.720 9.680 111.420 #  CL3
97 33 1 0.00 3.010 7.640 117.650 #  CL1
98 33 2 0.00 1.080 9.670 116.750 #  CL2
99 33 3 0.00 4.440 6.620 116.530 #  CL3
100 34 1 0.00 2.170 8.740 122.850 #  CL1
101 34 2 0.00 4.120 6.770 121.920 #  CL2
102 34 3 0.00 0.720 9.680 121.810 #  CL3
103 35 1 0.00 3.010 7.640 128.040 #  CL1
104 35 2 0.00 1.080 9.670 127.140 #  CL2
105 35 3 0.00 4.440 6.620 126.920 #  CL3
106 36 1 0.00 2.170 8.740 133.240 #  CL1
107 36 2 0.00 4.120 6.770 132.310 #  CL2
