# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,3.004554e+03,-1.000000e+00,5.271767e-01,2.526619e+01,-1.000000e+00,9.582440e+00,-1.000000e+00,-1.500000e+01
2.000000e+00,2.732651e+03,-1.000000e+00,5.271560e-01,2.302253e+01,-1.000000e+00,9.549721e+00,-1.000000e+00,-1.500000e+01
3.000000e+00,3.104359e+03,-1.000000e+00,5.271620e-01,1.512534e+01,-1.000000e+00,9.370732e+00,-1.000000e+00,-1.500000e+01
4.000000e+00,2.819965e+03,-1.000000e+00,5.272227e-01,2.004564e+01,-1.000000e+00,9.502423e+00,-1.000000e+00,-1.500000e+01
5.000000e+00,2.458104e+03,-1.000000e+00,5.272370e-01,1.789495e+01,-1.000000e+00,9.454463e+00,-1.000000e+00,-1.500000e+01
6.000000e+00,2.682241e+03,-1.000000e+00,5.271163e-01,1.413185e+01,-1.000000e+00,9.321132e+00,-1.000000e+00,-1.500000e+01
7.000000e+00,2.456115e+03,-1.000000e+00,5.272010e-01,2.119576e+01,-1.000000e+00,9.518693e+00,-1.000000e+00,-1.500000e+01
8.000000e+00,2.975233e+03,-1.000000e+00,5.272050e-01,1.684831e+01,-1.000000e+00,9.418437e+00,-1.000000e+00,-1.500000e+01
9.000000e+00,3.097386e+03,-1.000000e+00,5.272607e-01,1.954588e+01,-1.000000e+00,9.489157e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,3.047401e+03,-1.000000e+00,5.271853e-01,1.703923e+01,-1.000000e+00,9.430446e+00,-1.000000e+00,-1.500000e+01
1.100000e+01,2.939402e+03,-1.000000e+00,5.271903e-01,2.060419e+01,-1.000000e+00,9.509431e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,2.952936e+03,-1.000000e+00,5.270597e-01,1.064504e+01,6.857572e-01,9.124845e+00,9.217894e-01,3.037733e+00
1.300000e+01,2.783857e+03,-1.000000e+00,5.271993e-01,1.168279e+01,6.430282e-01,9.197391e+00,9.001237e-01,2.715760e+00
1.400000e+01,2.579151e+03,9.178118e-01,5.272143e-01,1.095101e+01,7.049396e-01,9.151943e+00,9.220920e-01,1.272422e+01
1.500000e+01,3.198756e+03,-1.000000e+00,5.271827e-01,1.212055e+01,6.181626e-01,9.217704e+00,8.935961e-01,2.558794e+00
1.600000e+01,2.892354e+03,-1.000000e+00,5.271637e-01,2.043981e+01,-1.000000e+00,9.506185e+00,-1.000000e+00,-1.500000e+01
1.700000e+01,2.456451e+03,-1.000000e+00,5.272413e-01,1.505653e+01,-1.000000e+00,9.357939e+00,-1.000000e+00,-1.500000e+01
1.800000e+01,3.037538e+03,-1.000000e+00,5.272230e-01,2.186523e+01,-1.000000e+00,9.532032e+00,-1.000000e+00,-1.500000e+01
1.900000e+01,2.793802e+03,-1.000000e+00,5.271420e-01,1.949542e+01,-1.000000e+00,9.482514e+00,-1.000000e+00,-1.500000e+01
2.000000e+01,2.584265e+03,9.278209e-01,5.272097e-01,1.793741e+01,-1.000000e+00,9.438551e+00,-1.000000e+00,-5.360895e+00
2.100000e+01,2.822914e+03,-1.000000e+00,5.271833e-01,1.942311e+01,-1.000000e+00,9.484674e+00,-1.000000e+00,-1.500000e+01
2.200000e+01,2.451001e+03,-1.000000e+00,5.272723e-01,1.990608e+01,-1.000000e+00,9.500102e+00,-1.000000e+00,-1.500000e+01
2.300000e+01,2.761588e+03,-1.000000e+00,5.271380e-01,1.877997e+01,-1.000000e+00,9.471424e+00,-1.000000e+00,-1.500000e+01
2.400000e+01,2.770384e+03,-1.000000e+00,5.271717e-01,1.418153e+01,-1.000000e+00,9.318837e+00,-1.000000e+00,-1.500000e+01
2.500000e+01,2.537533e+03,-1.000000e+00,5.272760e-01,1.369065e+01,-1.000000e+00,9.305072e+00,8.557025e-01,-5.721488e+00
2.600000e+01,2.500511e+03,-1.000000e+00,5.272457e-01,2.227215e+01,-1.000000e+00,9.535044e+00,-1.000000e+00,-1.500000e+01
2.700000e+01,3.195004e+03,-1.000000e+00,5.271773e-01,1.158434e+01,6.420231e-01,9.195591e+00,9.051156e-01,2.735693e+00
2.800000e+01,2.745284e+03,-1.000000e+00,5.271713e-01,2.208318e+01,-1.000000e+00,9.530091e+00,-1.000000e+00,-1.500000e+01
2.900000e+01,2.953198e+03,-1.000000e+00,5.272347e-01,2.124014e+01,-1.000000e+00,9.524557e+00,-1.000000e+00,-1.500000e+01
3.000000e+01,2.901900e+03,-1.000000e+00,5.272363e-01,1.836166e+01,-1.000000e+00,9.470406e+00,-1.000000e+00,-1.500000e+01
3.100000e+01,2.821587e+03,-1.000000e+00,5.271490e-01,1.232726e+01,6.280080e-01,9.238343e+00,8.790698e-01,2.535389e+00
3.200000e+01,3.036822e+03,-1.000000e+00,5.271787e-01,1.910422e+01,-1.000000e+00,9.477212e+00,-1.000000e+00,-1.500000e+01
3.300000e+01,3.041489e+03,-1.000000e+00,5.272003e-01,1.901566e+01,-1.000000e+00,9.474380e+00,-1.000000e+00,-1.500000e+01
3.400000e+01,2.542878e+03,-1.000000e+00,5.272957e-01,1.372029e+01,-1.000000e+00,9.302405e+00,8.572594e-01,-5.713703e+00
3.500000e+01,3.021807e+03,-1.000000e+00,5.271960e-01,1.888369e+01,-1.000000e+00,9.479337e+00,-1.000000e+00,-1.500000e+01
3.600000e+01,2.857829e+03,-1.000000e+00,5.271200e-01,1.889170e+01,-1.000000e+00,9.469823e+00,-1.000000e+00,-1.500000e+01
3.700000e+01,2.742723e+03,-1.000000e+00,5.271093e-01,1.899892e+01,-1.000000e+00,9.467691e+00,-1.000000e+00,-1.500000e+01
3.800000e+01,2.669451e+03,-1.000000e+00,5.272277e-01,2.310053e+01,-1.000000e+00,9.553402e+00,-1.000000e+00,-1.500000e+01
3.900000e+01,2.828652e+03,-1.000000e+00,5.272543e-01,1.416792e+01,-1.000000e+00,9.327735e+00,-1.000000e+00,-1.500000e+01
4.000000e+01,2.704099e+03,-1.000000e+00,5.272370e-01,1.352063e+01,-1.000000e+00,9.301814e+00,8.559824e-01,-5.720088e+00
4.100000e+01,3.031510e+03,-1.000000e+00,5.271607e-01,2.069126e+01,-1.000000e+00,9.514651e+00,-1.000000e+00,-1.500000e+01
4.200000e+01,2.624112e+03,9.121579e-01,5.271637e-01,1.939809e+01,-1.000000e+00,9.483233e+00,-1.000000e+00,-5.439210e+00
4.300000e+01,3.094855e+03,-1.000000e+00,5.271693e-01,1.630417e+01,-1.000000e+00,9.407779e+00,-1.000000e+00,-1.500000e+01
4.400000e+01,2.453201e+03,-1.000000e+00,5.272303e-01,1.482144e+01,-1.000000e+00,9.343024e+00,-1.000000e+00,-1.500000e+01
4.500000e+01,2.528966e+03,-1.000000e+00,5.271747e-01,1.554049e+01,-1.000000e+00,9.377079e+00,-1.000000e+00,-1.500000e+01
4.600000e+01,2.804034e+03,-1.000000e+00,5.271490e-01,1.018717e+01,7.757170e-01,9.097386e+00,8.999505e-01,3.378337e+00
4.700000e+01,3.025694e+03,-1.000000e+00,5.271930e-01,9.499425e+00,7.834547e-01,9.031166e+00,8.862978e-01,3.348763e+00
4.800000e+01,2.904132e+03,-1.000000e+00,5.271643e-01,1.596203e+01,-1.000000e+00,9.392158e+00,-1.000000e+00,-1.500000e+01
