# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,3.190850e+03,-1.000000e+00,5.271407e-01,2.306078e+01,-1.000000e+00,9.548645e+00,-1.000000e+00,-1.500000e+01
2.000000e+00,2.643974e+03,8.849159e-01,5.271987e-01,9.232259e+00,7.484839e-01,9.002561e+00,8.824270e-01,1.257913e+01
3.000000e+00,3.137737e+03,-1.000000e+00,5.272147e-01,1.580558e+01,-1.000000e+00,9.383712e+00,-1.000000e+00,-1.500000e+01
4.000000e+00,2.781838e+03,-1.000000e+00,5.271240e-01,2.156913e+01,-1.000000e+00,9.523049e+00,-1.000000e+00,-1.500000e+01
5.000000e+00,2.765112e+03,-1.000000e+00,5.271843e-01,1.775413e+01,-1.000000e+00,9.445979e+00,-1.000000e+00,-1.500000e+01
6.000000e+00,3.153894e+03,-1.000000e+00,5.272303e-01,1.861530e+01,-1.000000e+00,9.465330e+00,-1.000000e+00,-1.500000e+01
7.000000e+00,3.079516e+03,-1.000000e+00,5.271493e-01,2.131417e+01,-1.000000e+00,9.518610e+00,-1.000000e+00,-1.500000e+01
8.000000e+00,2.878104e+03,-1.000000e+00,5.271527e-01,1.850788e+01,-1.000000e+00,9.476714e+00,-1.000000e+00,-1.500000e+01
9.000000e+00,2.655247e+03,-1.000000e+00,5.272477e-01,1.695790e+01,-1.000000e+00,9.417956e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,3.056291e+03,-1.000000e+00,5.271913e-01,1.926605e+01,-1.000000e+00,9.482490e+00,-1.000000e+00,-1.500000e+01
1.100000e+01,2.682513e+03,-1.000000e+00,5.271233e-01,1.838870e+01,-1.000000e+00,9.456333e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,2.614521e+03,9.304638e-01,5.271313e-01,2.152127e+01,-1.000000e+00,9.530137e+00,-1.000000e+00,-5.347681e+00
1.300000e+01,2.766500e+03,-1.000000e+00,5.271210e-01,1.663594e+01,-1.000000e+00,9.405237e+00,-1.000000e+00,-1.500000e+01
1.400000e+01,2.542531e+03,-1.000000e+00,5.272253e-01,1.119735e+01,6.691765e-01,9.167842e+00,9.190956e-01,2.941361e+00
1.500000e+01,3.195649e+03,-1.000000e+00,5.271130e-01,2.319432e+01,-1.000000e+00,9.551502e+00,-1.000000e+00,-1.500000e+01
1.600000e+01,2.815999e+03,-1.000000e+00,5.271887e-01,1.580562e+01,-1.000000e+00,9.383122e+00,-1.000000e+00,-1.500000e+01
1.700000e+01,2.702110e+03,-1.000000e+00,5.271417e-01,1.807741e+01,-1.000000e+00,9.450627e+00,-1.000000e+00,-1.500000e+01
1.800000e+01,3.030653e+03,-1.000000e+00,5.271733e-01,2.507496e+01,-1.000000e+00,9.581611e+00,-1.000000e+00,-1.500000e+01
1.900000e+01,3.137122e+03,-1.000000e+00,5.272280e-01,1.166246e+01,6.409954e-01,9.203748e+00,8.975246e-01,2.692600e+00
2.000000e+01,2.536535e+03,-1.000000e+00,5.272990e-01,1.496473e+01,-1.000000e+00,9.355158e+00,-1.000000e+00,-1.500000e+01
2.100000e+01,2.450479e+03,-1.000000e+00,5.271733e-01,1.926186e+01,-1.000000e+00,9.480712e+00,-1.000000e+00,-1.500000e+01
2.200000e+01,2.860081e+03,-1.000000e+00,5.271870e-01,1.852924e+01,-1.000000e+00,9.460239e+00,-1.000000e+00,-1.500000e+01
2.300000e+01,2.753073e+03,-1.000000e+00,5.271943e-01,1.628028e+01,-1.000000e+00,9.400984e+00,-1.000000e+00,-1.500000e+01
2.400000e+01,2.838455e+03,-1.000000e+00,5.271693e-01,1.040046e+01,7.063910e-01,9.098261e+00,9.093046e-01,3.078478e+00
2.500000e+01,2.839868e+03,-1.000000e+00,5.271450e-01,1.780229e+01,-1.000000e+00,9.446860e+00,-1.000000e+00,-1.500000e+01
2.600000e+01,3.075579e+03,-1.000000e+00,5.272153e-01,2.284562e+01,-1.000000e+00,9.544603e+00,-1.000000e+00,-1.500000e+01
2.700000e+01,3.046992e+03,-1.000000e+00,5.271710e-01,1.948750e+01,-1.000000e+00,9.488117e+00,-1.000000e+00,-1.500000e+01
2.800000e+01,3.141117e+03,-1.000000e+00,5.271533e-01,1.099552e+01,6.779457e-01,9.143957e+00,9.338932e-01,3.059195e+00
2.900000e+01,2.474264e+03,-1.000000e+00,5.272277e-01,2.086535e+01,-1.000000e+00,9.517763e+00,-1.000000e+00,-1.500000e+01
3.000000e+01,2.726357e+03,-1.000000e+00,5.271567e-01,2.393675e+01,-1.000000e+00,9.562564e+00,-1.000000e+00,-1.500000e+01
3.100000e+01,3.138010e+03,-1.000000e+00,5.271587e-01,1.162679e+01,6.459243e-01,9.200972e+00,9.000887e-01,2.730065e+00
3.200000e+01,3.195306e+03,-1.000000e+00,5.272347e-01,1.067269e+01,6.937034e-01,9.132062e+00,9.189727e-01,3.063380e+00
3.300000e+01,2.888076e+03,-1.000000e+00,5.272403e-01,1.487606e+01,-1.000000e+00,9.343319e+00,-1.000000e+00,-1.500000e+01
3.400000e+01,3.212464e+03,-1.000000e+00,5.272200e-01,1.657538e+01,-1.000000e+00,9.404865e+00,-1.000000e+00,-1.500000e+01
3.500000e+01,2.873044e+03,-1.000000e+00,5.272433e-01,2.330308e+01,-1.000000e+00,9.556116e+00,-1.000000e+00,-1.500000e+01
3.600000e+01,2.960358e+03,-1.000000e+00,5.271817e-01,1.441796e+01,-1.000000e+00,9.329001e+00,-1.000000e+00,-1.500000e+01
3.700000e+01,2.866899e+03,-1.000000e+00,5.271753e-01,1.510603e+01,-1.000000e+00,9.358030e+00,-1.000000e+00,-1.500000e+01
3.800000e+01,2.896388e+03,-1.000000e+00,5.272333e-01,1.911091e+01,-1.000000e+00,9.484023e+00,-1.000000e+00,-1.500000e+01
3.900000e+01,2.535459e+03,-1.000000e+00,5.271973e-01,1.579925e+01,-1.000000e+00,9.389151e+00,-1.000000e+00,-1.500000e+01
4.000000e+01,2.478662e+03,-1.000000e+00,5.272027e-01,1.938886e+01,-1.000000e+00,9.492627e+00,-1.000000e+00,-1.500000e+01
4.100000e+01,3.107324e+03,-1.000000e+00,5.271977e-01,1.146927e+01,6.773855e-01,9.189044e+00,9.015707e-01,2.894781e+00
4.200000e+01,3.118052e+03,-1.000000e+00,5.271397e-01,2.079182e+01,-1.000000e+00,9.511737e+00,-1.000000e+00,-1.500000e+01
