# step_count,bc_1,bc_2,bc_3,ac_1,ac_2,ac_3,ac_4,ac_5,ac_6,ic_1,ic_2,ic_3
1.000000e+00,6.714000e+01,8.638000e+01,1.177000e+02,2.833000e+01,3.548000e+01,2.792000e+01,2.496000e+01,2.376000e+01,2.051000e+01,7.135000e-01,6.521000e-01,7.120000e-01
2.000000e+00,7.128000e+01,9.171000e+01,1.250000e+02,2.618000e+01,3.279000e+01,2.580000e+01,2.306000e+01,2.195000e+01,1.895000e+01,1.562000e-01,1.428000e-01,1.559000e-01
3.000000e+00,7.448000e+01,9.583000e+01,1.306000e+02,3.048000e+01,3.817000e+01,3.003000e+01,2.685000e+01,2.556000e+01,2.207000e+01,4.155000e-01,3.797000e-01,4.146000e-01
4.000000e+00,6.309000e+01,8.117000e+01,1.106000e+02,3.086000e+01,3.865000e+01,3.041000e+01,2.718000e+01,2.588000e+01,2.234000e+01,2.520000e-01,2.303000e-01,2.515000e-01
5.000000e+00,6.041000e+01,7.772000e+01,1.059000e+02,2.815000e+01,3.526000e+01,2.774000e+01,2.480000e+01,2.361000e+01,2.038000e+01,1.847000e-01,1.688000e-01,1.843000e-01
6.000000e+00,6.978000e+01,8.978000e+01,1.223000e+02,2.544000e+01,3.186000e+01,2.507000e+01,2.241000e+01,2.133000e+01,1.842000e+01,5.599000e-01,5.117000e-01,5.587000e-01
7.000000e+00,7.275000e+01,9.360000e+01,1.275000e+02,2.753000e+01,3.448000e+01,2.713000e+01,2.425000e+01,2.309000e+01,1.993000e+01,3.749000e-01,3.426000e-01,3.741000e-01
8.000000e+00,7.258000e+01,9.338000e+01,1.272000e+02,2.513000e+01,3.147000e+01,2.476000e+01,2.214000e+01,2.107000e+01,1.819000e+01,5.675000e-01,5.186000e-01,5.663000e-01
9.000000e+00,6.070000e+01,7.810000e+01,1.064000e+02,3.334000e+01,4.176000e+01,3.285000e+01,2.937000e+01,2.796000e+01,2.414000e+01,3.463000e-01,3.165000e-01,3.456000e-01
1.000000e+01,6.531000e+01,8.403000e+01,1.145000e+02,3.477000e+01,4.355000e+01,3.426000e+01,3.063000e+01,2.916000e+01,2.517000e+01,6.364000e-01,5.816000e-01,6.351000e-01
1.100000e+01,6.573000e+01,8.457000e+01,1.152000e+02,3.257000e+01,4.079000e+01,3.209000e+01,2.869000e+01,2.731000e+01,2.358000e+01,7.134000e-01,6.520000e-01,7.119000e-01
1.200000e+01,7.429000e+01,9.558000e+01,1.302000e+02,3.460000e+01,4.333000e+01,3.409000e+01,3.048000e+01,2.902000e+01,2.505000e+01,2.774000e-01,2.535000e-01,2.768000e-01
1.300000e+01,6.418000e+01,8.257000e+01,1.125000e+02,3.449000e+01,4.320000e+01,3.399000e+01,3.038000e+01,2.892000e+01,2.497000e+01,5.221000e-01,4.771000e-01,5.210000e-01
1.400000e+01,6.669000e+01,8.580000e+01,1.169000e+02,2.960000e+01,3.707000e+01,2.917000e+01,2.607000e+01,2.482000e+01,2.143000e+01,6.932000e-01,6.335000e-01,6.917000e-01
1.500000e+01,7.722000e+01,9.935000e+01,1.354000e+02,3.476000e+01,4.353000e+01,3.425000e+01,3.062000e+01,2.915000e+01,2.517000e+01,2.254000e-01,2.060000e-01,2.249000e-01
1.600000e+01,6.248000e+01,8.039000e+01,1.095000e+02,3.181000e+01,3.984000e+01,3.135000e+01,2.802000e+01,2.668000e+01,2.303000e+01,2.004000e-01,1.831000e-01,2.000000e-01
1.700000e+01,6.706000e+01,8.628000e+01,1.176000e+02,3.047000e+01,3.816000e+01,3.003000e+01,2.684000e+01,2.555000e+01,2.206000e+01,8.362000e-01,7.642000e-01,8.344000e-01
1.800000e+01,6.037000e+01,7.767000e+01,1.058000e+02,3.391000e+01,4.247000e+01,3.341000e+01,2.987000e+01,2.844000e+01,2.455000e+01,3.710000e-01,3.391000e-01,3.702000e-01
1.900000e+01,7.901000e+01,1.017000e+02,1.385000e+02,2.982000e+01,3.735000e+01,2.938000e+01,2.627000e+01,2.501000e+01,2.159000e+01,6.671000e-01,6.097000e-01,6.657000e-01
2.000000e+01,7.815000e+01,1.005000e+02,1.370000e+02,2.569000e+01,3.217000e+01,2.531000e+01,2.263000e+01,2.154000e+01,1.860000e+01,4.810000e-01,4.396000e-01,4.800000e-01
2.100000e+01,7.703000e+01,9.911000e+01,1.350000e+02,3.382000e+01,4.236000e+01,3.333000e+01,2.979000e+01,2.836000e+01,2.449000e+01,6.950000e-01,6.352000e-01,6.935000e-01
2.200000e+01,6.651000e+01,8.557000e+01,1.166000e+02,2.525000e+01,3.162000e+01,2.488000e+01,2.224000e+01,2.117000e+01,1.828000e+01,3.510000e-01,3.208000e-01,3.503000e-01
2.300000e+01,6.535000e+01,8.408000e+01,1.146000e+02,3.464000e+01,4.338000e+01,3.413000e+01,3.051000e+01,2.905000e+01,2.508000e+01,4.274000e-01,3.906000e-01,4.265000e-01
2.400000e+01,7.960000e+01,1.024000e+02,1.395000e+02,2.555000e+01,3.200000e+01,2.518000e+01,2.251000e+01,2.143000e+01,1.850000e+01,7.635000e-01,6.978000e-01,7.619000e-01
2.500000e+01,7.358000e+01,9.467000e+01,1.290000e+02,2.618000e+01,3.279000e+01,2.580000e+01,2.306000e+01,2.195000e+01,1.895000e+01,4.991000e-01,4.561000e-01,4.981000e-01
2.600000e+01,6.691000e+01,8.609000e+01,1.173000e+02,2.923000e+01,3.661000e+01,2.880000e+01,2.575000e+01,2.451000e+01,2.116000e+01,3.073000e-01,2.808000e-01,3.067000e-01
2.700000e+01,6.184000e+01,7.956000e+01,1.084000e+02,3.080000e+01,3.857000e+01,3.035000e+01,2.713000e+01,2.583000e+01,2.230000e+01,4.687000e-01,4.283000e-01,4.677000e-01
2.800000e+01,6.372000e+01,8.198000e+01,1.117000e+02,3.419000e+01,4.282000e+01,3.369000e+01,3.012000e+01,2.867000e+01,2.475000e+01,2.521000e-01,2.304000e-01,2.516000e-01
