# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,3.099081e+03,6.953495e-01,5.272297e-01,2.271538e+01,4.541093e-01,9.551335e+00,7.964733e-01,9.729661e+00
2.000000e+00,2.953192e+03,7.306902e-01,5.271823e-01,1.674776e+01,5.261971e-01,9.418073e+00,8.243132e-01,1.040600e+01
3.000000e+00,2.891693e+03,7.490934e-01,5.271897e-01,1.564246e+01,5.339396e-01,9.373919e+00,8.366063e-01,1.059820e+01
4.000000e+00,3.182087e+03,6.788133e-01,5.271693e-01,1.310854e+01,6.016373e-01,9.273190e+00,8.653439e-01,1.072897e+01
5.000000e+00,3.109753e+03,6.931038e-01,5.271867e-01,2.035625e+01,4.799204e-01,9.501066e+00,8.057496e-01,9.893869e+00
6.000000e+00,2.768794e+03,7.969425e-01,5.271547e-01,1.762591e+01,5.073300e-01,9.442083e+00,8.191746e-01,1.061724e+01
7.000000e+00,2.534803e+03,8.632947e-01,5.271000e-01,1.145245e+01,6.685669e-01,9.185157e+00,9.031538e-01,1.217508e+01
8.000000e+00,2.620786e+03,9.179253e-01,5.271990e-01,1.493520e+01,5.582807e-01,9.355731e+00,8.396449e-01,1.157925e+01
9.000000e+00,2.828079e+03,7.714977e-01,5.271563e-01,2.372146e+01,4.458960e-01,9.562589e+00,7.943067e-01,1.005850e+01
1.000000e+01,2.915713e+03,7.415837e-01,5.272810e-01,1.751209e+01,5.053429e-01,9.435948e+00,8.214880e-01,1.034207e+01
1.100000e+01,2.965558e+03,7.272908e-01,5.271860e-01,1.007786e+01,7.391525e-01,9.097077e+00,9.043729e-01,1.185408e+01
1.200000e+01,2.639027e+03,8.908547e-01,5.272780e-01,1.181223e+01,6.419115e-01,9.196900e+00,9.019786e-01,1.217372e+01
1.300000e+01,3.111712e+03,6.926957e-01,5.272253e-01,1.600976e+01,5.313798e-01,9.386400e+00,8.321265e-01,1.028101e+01
1.400000e+01,2.763107e+03,7.997016e-01,5.271397e-01,1.812603e+01,5.056686e-01,9.457591e+00,8.152005e-01,1.060285e+01
1.500000e+01,2.550434e+03,8.786795e-01,5.271960e-01,1.166701e+01,6.445957e-01,9.201149e+00,9.014995e-01,1.212387e+01
1.600000e+01,3.161273e+03,6.827698e-01,5.271713e-01,2.228686e+01,4.571209e-01,9.548211e+00,7.971504e-01,9.685205e+00
1.700000e+01,2.858110e+03,7.604121e-01,5.271893e-01,1.342565e+01,5.873726e-01,9.289912e+00,8.604545e-01,1.104120e+01
1.800000e+01,3.069033e+03,7.018863e-01,5.272057e-01,1.303236e+01,5.826575e-01,9.273032e+00,8.696737e-01,1.077109e+01
1.900000e+01,2.946149e+03,7.326674e-01,5.272033e-01,1.011255e+01,7.218040e-01,9.083251e+00,9.061287e-01,1.180300e+01
2.000000e+01,3.092036e+03,6.968532e-01,5.271513e-01,1.642493e+01,5.329495e-01,9.402876e+00,8.279230e-01,1.028863e+01
2.100000e+01,3.162584e+03,6.825170e-01,5.271807e-01,2.400809e+01,4.453769e-01,9.567955e+00,7.936705e-01,9.607822e+00
2.200000e+01,2.583746e+03,9.267263e-01,5.272533e-01,2.097240e+01,4.746510e-01,9.510421e+00,8.041635e-01,1.102770e+01
2.300000e+01,2.675668e+03,8.542652e-01,5.272827e-01,2.063538e+01,4.731722e-01,9.508169e+00,8.042804e-01,1.065859e+01
2.400000e+01,2.867255e+03,7.572260e-01,5.271620e-01,2.287316e+01,4.549810e-01,9.545893e+00,7.975717e-01,1.004889e+01
2.500000e+01,2.783234e+03,7.902200e-01,5.271597e-01,2.194637e+01,4.613867e-01,9.525363e+00,8.014732e-01,1.026540e+01
2.600000e+01,2.965243e+03,7.273764e-01,5.272473e-01,1.063476e+01,6.913637e-01,9.118383e+00,9.158854e-01,1.167313e+01
2.700000e+01,2.746362e+03,8.082367e-01,5.271523e-01,1.569043e+01,5.355716e-01,9.379383e+00,8.349046e-01,1.089356e+01
2.800000e+01,2.518098e+03,8.492678e-01,5.271807e-01,1.812802e+01,5.044579e-01,9.454100e+00,8.162642e-01,1.084995e+01
2.900000e+01,3.040044e+03,7.085177e-01,5.272687e-01,1.889507e+01,4.889458e-01,9.473993e+00,8.121455e-01,1.004805e+01
3.000000e+01,2.896310e+03,7.476147e-01,5.272280e-01,1.029858e+01,6.977122e-01,9.109013e+00,9.204376e-01,1.182882e+01
3.100000e+01,3.068345e+03,7.020400e-01,5.271820e-01,1.850336e+01,4.933446e-01,9.470359e+00,8.133981e-01,1.004391e+01
3.200000e+01,2.530259e+03,8.592702e-01,5.271400e-01,1.506590e+01,5.467496e-01,9.357931e+00,8.402830e-01,1.123151e+01
3.300000e+01,2.803631e+03,7.813377e-01,5.271213e-01,1.233377e+01,6.156398e-01,9.238410e+00,8.807457e-01,1.138862e+01
3.400000e+01,3.067449e+03,7.022401e-01,5.272110e-01,1.648778e+01,5.264690e-01,9.402503e+00,8.288436e-01,1.028776e+01
3.500000e+01,2.773023e+03,7.949332e-01,5.271540e-01,1.761671e+01,5.080013e-01,9.446633e+00,8.177059e-01,1.060320e+01
3.600000e+01,2.681029e+03,8.499525e-01,5.271127e-01,1.372513e+01,5.768444e-01,9.292385e+00,8.627786e-01,1.144788e+01
3.700000e+01,2.580094e+03,9.195404e-01,5.271337e-01,2.294881e+01,4.531940e-01,9.544408e+00,7.977680e-01,1.085251e+01
3.800000e+01,3.222816e+03,6.713964e-01,5.271203e-01,1.836941e+01,4.982997e-01,9.462229e+00,8.132322e-01,9.914641e+00
3.900000e+01,3.225654e+03,6.708947e-01,5.271943e-01,1.930757e+01,4.905984e-01,9.485297e+00,8.090889e-01,9.852909e+00
4.000000e+01,2.780412e+03,7.915036e-01,5.271823e-01,1.365011e+01,5.784309e-01,9.295059e+00,8.627277e-01,1.116331e+01
4.100000e+01,3.139675e+03,6.870039e-01,5.271997e-01,1.916326e+01,4.949508e-01,9.473428e+00,8.114623e-01,9.967085e+00
4.200000e+01,3.202494e+03,6.750455e-01,5.271690e-01,1.606437e+01,5.335174e-01,9.386672e+00,8.328046e-01,1.020684e+01
4.300000e+01,2.944223e+03,7.332136e-01,5.272420e-01,1.239184e+01,6.354072e-01,9.236776e+00,8.796779e-01,1.124149e+01
4.400000e+01,2.705849e+03,8.321062e-01,5.272177e-01,1.549543e+01,5.372898e-01,9.370706e+00,8.376167e-01,1.103506e+01
4.500000e+01,2.534929e+03,8.634086e-01,5.271553e-01,2.212466e+01,4.600799e-01,9.542671e+00,7.980083e-01,1.060748e+01
4.600000e+01,2.883853e+03,7.516450e-01,5.271780e-01,1.511064e+01,5.504153e-01,9.366084e+00,8.382281e-01,1.070144e+01
4.700000e+01,3.014251e+03,7.147154e-01,5.271427e-01,2.034215e+01,4.785523e-01,9.505075e+00,8.049473e-01,9.991075e+00
4.800000e+01,2.630878e+03,9.017308e-01,5.272080e-01,1.306052e+01,5.979147e-01,9.280208e+00,8.651196e-01,1.182383e+01
4.900000e+01,2.818468e+03,7.752702e-01,5.272343e-01,2.290516e+01,4.518110e-01,9.543448e+00,7.979916e-01,1.012536e+01
5.000000e+01,2.690136e+03,8.430335e-01,5.272693e-01,1.811515e+01,4.962406e-01,9.453927e+00,8.172406e-01,1.078257e+01
5.100000e+01,2.970013e+03,7.260879e-01,5.271790e-01,1.934855e+01,4.844579e-01,9.482064e+00,8.098470e-01,1.010196e+01
5.200000e+01,3.051758e+03,7.057974e-01,5.271623e-01,2.096942e+01,4.676039e-01,9.510255e+00,8.048081e-01,9.891047e+00
