# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.658328e+03,8.697317e-01,5.271610e-01,1.031312e+01,7.232815e-01,9.110677e+00,9.120236e-01,1.252518e+01
2.000000e+00,2.825801e+03,7.723811e-01,5.271773e-01,1.982294e+01,4.896203e-01,9.488264e+00,8.081568e-01,1.035079e+01
3.000000e+00,2.508292e+03,8.418862e-01,5.273053e-01,1.433933e+01,5.630951e-01,9.326078e+00,8.501559e-01,1.127569e+01
4.000000e+00,3.214118e+03,6.729460e-01,5.271457e-01,1.906577e+01,4.912380e-01,9.471524e+00,8.125923e-01,9.883881e+00
5.000000e+00,2.492649e+03,8.311193e-01,5.271607e-01,2.293366e+01,4.526387e-01,9.549449e+00,7.966396e-01,1.040199e+01
6.000000e+00,2.914027e+03,7.420966e-01,5.271290e-01,1.398490e+01,5.777010e-01,9.318529e+00,8.518427e-01,1.085820e+01
7.000000e+00,2.780113e+03,7.916404e-01,5.271600e-01,1.414766e+01,5.635340e-01,9.315882e+00,8.526056e-01,1.103890e+01
8.000000e+00,3.007336e+03,7.164285e-01,5.272033e-01,2.169017e+01,4.632294e-01,9.529585e+00,8.010619e-01,9.903599e+00
9.000000e+00,2.676662e+03,8.534510e-01,5.272053e-01,1.498614e+01,5.546869e-01,9.353283e+00,8.413208e-01,1.124729e+01
1.000000e+01,2.968700e+03,7.264413e-01,5.271940e-01,2.095073e+01,4.715005e-01,9.526680e+00,8.011304e-01,9.995361e+00
1.100000e+01,2.832840e+03,7.696717e-01,5.271663e-01,1.126855e+01,6.704059e-01,9.178415e+00,9.121462e-01,1.176112e+01
1.200000e+01,3.158479e+03,6.833099e-01,5.271540e-01,1.333655e+01,5.731017e-01,9.276600e+00,8.694259e-01,1.062919e+01
1.300000e+01,2.636648e+03,8.938756e-01,5.271760e-01,2.282010e+01,4.533662e-01,9.547394e+00,7.967952e-01,1.072019e+01
1.400000e+01,3.212327e+03,6.732673e-01,5.271157e-01,2.333064e+01,4.461948e-01,9.560129e+00,7.946734e-01,9.570677e+00
1.500000e+01,2.889824e+03,7.496969e-01,5.272253e-01,2.217234e+01,4.574041e-01,9.541317e+00,7.979936e-01,1.002547e+01
1.600000e+01,3.143354e+03,6.862731e-01,5.271623e-01,9.111852e+00,7.385389e-01,8.995570e+00,8.795494e-01,1.152181e+01
1.700000e+01,2.841633e+03,7.663694e-01,5.271827e-01,2.130726e+01,4.656567e-01,9.521635e+00,8.027723e-01,1.017399e+01
1.800000e+01,2.590779e+03,9.437958e-01,5.272157e-01,1.798123e+01,5.043313e-01,9.452260e+00,8.167237e-01,1.132425e+01
1.900000e+01,2.616455e+03,9.263077e-01,5.272207e-01,1.573225e+01,5.431030e-01,9.377551e+00,8.344762e-01,1.151943e+01
2.000000e+01,3.188001e+03,6.777103e-01,5.271230e-01,1.851617e+01,4.907112e-01,9.457344e+00,8.159279e-01,9.921747e+00
2.100000e+01,3.204814e+03,6.746237e-01,5.271467e-01,1.319090e+01,5.959155e-01,9.272260e+00,8.674678e-01,1.069003e+01
2.200000e+01,2.835205e+03,7.687747e-01,5.270693e-01,1.625598e+01,5.268413e-01,9.398836e+00,8.291309e-01,1.062373e+01
2.300000e+01,2.881185e+03,7.525254e-01,5.271490e-01,1.620111e+01,5.169971e-01,9.390375e+00,8.329788e-01,1.051251e+01
2.400000e+01,3.007750e+03,7.163254e-01,5.272143e-01,1.565200e+01,5.292471e-01,9.372980e+00,8.371313e-01,1.041352e+01
2.500000e+01,2.766487e+03,7.980541e-01,5.271717e-01,2.122159e+01,4.697018e-01,9.526074e+00,8.009199e-01,1.034338e+01
2.600000e+01,3.099399e+03,6.952819e-01,5.271743e-01,1.797595e+01,5.033862e-01,9.449816e+00,8.178435e-01,1.008256e+01
2.700000e+01,2.657964e+03,8.700860e-01,5.271770e-01,1.359870e+01,5.947007e-01,9.300035e+00,8.543770e-01,1.159582e+01
2.800000e+01,2.808780e+03,7.791969e-01,5.271807e-01,1.580868e+01,5.381944e-01,9.381120e+00,8.337520e-01,1.075572e+01
2.900000e+01,2.999855e+03,7.183076e-01,5.272080e-01,1.958337e+01,4.873249e-01,9.487293e+00,8.080427e-01,1.006838e+01
3.000000e+01,2.650275e+03,8.779203e-01,5.271380e-01,1.378947e+01,5.886946e-01,9.303949e+00,8.565638e-01,1.161589e+01
3.100000e+01,2.690528e+03,8.427462e-01,5.271407e-01,1.271462e+01,5.989588e-01,9.249412e+00,8.810035e-01,1.161354e+01
3.200000e+01,2.565968e+03,8.973374e-01,5.272290e-01,2.220277e+01,4.580926e-01,9.533139e+00,7.999426e-01,1.077686e+01
3.300000e+01,2.452776e+03,8.077812e-01,5.272177e-01,1.309405e+01,5.983760e-01,9.278115e+00,8.650464e-01,1.135602e+01
3.400000e+01,3.230280e+03,6.700809e-01,5.272260e-01,1.992304e+01,4.757588e-01,9.493859e+00,8.090108e-01,9.774253e+00
3.500000e+01,2.537887e+03,8.661285e-01,5.271867e-01,1.035838e+01,7.215136e-01,9.106362e+00,9.067918e-01,1.247217e+01
3.600000e+01,2.663417e+03,8.649197e-01,5.272633e-01,2.172527e+01,4.632840e-01,9.525946e+00,8.014034e-01,1.064804e+01
3.700000e+01,2.957748e+03,7.294273e-01,5.271497e-01,1.770255e+01,5.123907e-01,9.439076e+00,8.191537e-01,1.030486e+01
3.800000e+01,3.089942e+03,6.973034e-01,5.271090e-01,1.007917e+01,7.510288e-01,9.088237e+00,9.003319e-01,1.174332e+01
3.900000e+01,2.440137e+03,8.013058e-01,5.271963e-01,1.545604e+01,5.400455e-01,9.373189e+00,8.355686e-01,1.088460e+01
4.000000e+01,2.671820e+03,8.574842e-01,5.271613e-01,2.332391e+01,4.473010e-01,9.560127e+00,7.941275e-01,1.049456e+01
4.100000e+01,3.122709e+03,6.904280e-01,5.271730e-01,1.893286e+01,4.910697e-01,9.472784e+00,8.129786e-01,9.972382e+00
4.200000e+01,2.495854e+03,8.332357e-01,5.271363e-01,1.469356e+01,5.539423e-01,9.341469e+00,8.458435e-01,1.116511e+01
4.300000e+01,2.968591e+03,7.264707e-01,5.271850e-01,1.752890e+01,5.066411e-01,9.451310e+00,8.176086e-01,1.025360e+01
4.400000e+01,2.455981e+03,8.094840e-01,5.272177e-01,9.106755e+00,7.451761e-01,8.994295e+00,8.789378e-01,1.216799e+01
4.500000e+01,2.832001e+03,7.699914e-01,5.271927e-01,2.136519e+01,4.693322e-01,9.521182e+00,8.021158e-01,1.020720e+01
4.600000e+01,3.090120e+03,6.972651e-01,5.272313e-01,1.551753e+01,5.403962e-01,9.381556e+00,8.344408e-01,1.036051e+01
4.700000e+01,3.052775e+03,7.055641e-01,5.271370e-01,1.871401e+01,4.956091e-01,9.475205e+00,8.112752e-01,1.006224e+01
4.800000e+01,3.207092e+03,6.742111e-01,5.271737e-01,2.213878e+01,4.614475e-01,9.531383e+00,7.997036e-01,9.676811e+00
4.900000e+01,2.736676e+03,8.134864e-01,5.272303e-01,1.232049e+01,6.165912e-01,9.228540e+00,8.879400e-01,1.159009e+01
5.000000e+01,2.508241e+03,8.418494e-01,5.271593e-01,2.349438e+01,4.474044e-01,9.554462e+00,7.961064e-01,1.042680e+01
5.100000e+01,2.580441e+03,9.201893e-01,5.272050e-01,2.272973e+01,4.532640e-01,9.549671e+00,7.966021e-01,1.085028e+01
5.200000e+01,2.860007e+03,7.597446e-01,5.271620e-01,1.166338e+01,6.502806e-01,9.207051e+00,8.947845e-01,1.152405e+01
5.300000e+01,2.605430e+03,9.562992e-01,5.271570e-01,1.848380e+01,4.951354e-01,9.464673e+00,8.144270e-01,1.132931e+01
5.400000e+01,2.564418e+03,8.952670e-01,5.272053e-01,1.699934e+01,5.149823e-01,9.421309e+00,8.245196e-01,1.117384e+01
5.500000e+01,2.735432e+03,8.141796e-01,5.271450e-01,1.927979e+01,4.846964e-01,9.481597e+00,8.106496e-01,1.054763e+01
5.600000e+01,2.989757e+03,7.208882e-01,5.272170e-01,1.373589e+01,5.797743e-01,9.296152e+00,8.604615e-01,1.080562e+01
5.700000e+01,3.092814e+03,6.966862e-01,5.271877e-01,2.131781e+01,4.707175e-01,9.514512e+00,8.030127e-01,9.852082e+00
5.800000e+01,3.029635e+03,7.109835e-01,5.271637e-01,1.818023e+01,5.069285e-01,9.451677e+00,8.159007e-01,1.016906e+01
5.900000e+01,2.663785e+03,8.645813e-01,5.272213e-01,9.172616e+00,7.379605e-01,9.008865e+00,8.847059e-01,1.243624e+01
6.000000e+01,3.131932e+03,6.885556e-01,5.271373e-01,1.915271e+01,4.923037e-01,9.475359e+00,8.111967e-01,9.960280e+00
6.100000e+01,2.485325e+03,8.264371e-01,5.272150e-01,2.197826e+01,4.599857e-01,9.531156e+00,8.002346e-01,1.043329e+01
6.200000e+01,2.515302e+03,8.471071e-01,5.272160e-01,9.295489e+00,7.430773e-01,9.021650e+00,8.887834e-01,1.239484e+01
6.300000e+01,3.102422e+03,6.946423e-01,5.272263e-01,1.832522e+01,4.994494e-01,9.463270e+00,8.140543e-01,1.004073e+01
6.400000e+01,2.863377e+03,7.585671e-01,5.271737e-01,1.392669e+01,5.716831e-01,9.314435e+00,8.533482e-01,1.091799e+01
6.500000e+01,3.222690e+03,6.714187e-01,5.271630e-01,1.333206e+01,5.829151e-01,9.282358e+00,8.666545e-01,1.060494e+01
6.600000e+01,3.083058e+03,6.987947e-01,5.272080e-01,1.147939e+01,6.446706e-01,9.179734e+00,9.120126e-01,1.127739e+01
6.700000e+01,2.975961e+03,7.244992e-01,5.271943e-01,1.925124e+01,4.906227e-01,9.485412e+00,8.092324e-01,1.012177e+01
6.800000e+01,2.895578e+03,7.478477e-01,5.272430e-01,9.566240e+00,7.881515e-01,9.052872e+00,8.934473e-01,1.214723e+01
6.900000e+01,3.223732e+03,6.712343e-01,5.271137e-01,1.874123e+01,4.960906e-01,9.465373e+00,8.140362e-01,9.906805e+00
7.000000e+01,2.913870e+03,7.421442e-01,5.272593e-01,1.473417e+01,5.555637e-01,9.343350e+00,8.453540e-01,1.071531e+01
7.100000e+01,2.609695e+03,9.424492e-01,5.271880e-01,1.652379e+01,5.212449e-01,9.410301e+00,8.266965e-01,1.145195e+01
7.200000e+01,3.184816e+03,6.783031e-01,5.271773e-01,1.914932e+01,4.923771e-01,9.476476e+00,8.115264e-01,9.911033e+00
7.300000e+01,3.186388e+03,6.780102e-01,5.271920e-01,2.109376e+01,4.715377e-01,9.511594e+00,8.039272e-01,9.767376e+00
7.400000e+01,2.604696e+03,9.592323e-01,5.272023e-01,2.154180e+01,4.622599e-01,9.528342e+00,8.008968e-01,1.111195e+01
7.500000e+01,3.227907e+03,6.704978e-01,5.271177e-01,2.568211e+01,4.305372e-01,9.583737e+00,7.906336e-01,9.458343e+00
7.600000e+01,2.972414e+03,7.254443e-01,5.271803e-01,1.921935e+01,4.873746e-01,9.481470e+00,8.112606e-01,1.012040e+01
7.700000e+01,2.934520e+03,7.360007e-01,5.270737e-01,2.482763e+01,4.373991e-01,9.574252e+00,7.922352e-01,9.828175e+00
7.800000e+01,2.858421e+03,7.603024e-01,5.271907e-01,1.975654e+01,4.834731e-01,9.495271e+00,8.070522e-01,1.025414e+01
7.900000e+01,2.860627e+03,7.595269e-01,5.272167e-01,2.426244e+01,4.439525e-01,9.565930e+00,7.936269e-01,9.985532e+00
8.000000e+01,2.903980e+03,7.451960e-01,5.272347e-01,1.846741e+01,5.008333e-01,9.468728e+00,8.132024e-01,1.029616e+01
8.100000e+01,0.000000e+00,-1.000000e+00,0.000000e+00,0.000000e+00,-1.000000e+00,0.000000e+00,-1.000000e+00,-1.500000e+01
8.200000e+01,3.221046e+03,6.717103e-01,5.271490e-01,2.251109e+01,4.604388e-01,9.542316e+00,7.984877e-01,9.653184e+00
8.300000e+01,2.600082e+03,9.944074e-01,5.271547e-01,1.251061e+01,6.248973e-01,9.233429e+00,8.817388e-01,1.250522e+01
