# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.485027e+03,8.262509e-01,5.272063e-01,1.439147e+01,5.569333e-01,9.336349e+00,8.478233e-01,1.115504e+01
2.000000e+00,3.125165e+03,6.899267e-01,5.272203e-01,2.010094e+01,4.773616e-01,9.498956e+00,8.065978e-01,9.869431e+00
3.000000e+00,2.669926e+03,8.591098e-01,5.272043e-01,2.028352e+01,4.724792e-01,9.500324e+00,8.070944e-01,1.069342e+01
4.000000e+00,2.879989e+03,7.529222e-01,5.271717e-01,1.170227e+01,6.473365e-01,9.200346e+00,8.983437e-01,1.149301e+01
5.000000e+00,2.837897e+03,7.677617e-01,5.271373e-01,1.621760e+01,5.298406e-01,9.405454e+00,8.273191e-01,1.062461e+01
6.000000e+00,2.488681e+03,8.285567e-01,5.271627e-01,1.656623e+01,5.215009e-01,9.406772e+00,8.282141e-01,1.089136e+01
7.000000e+00,3.023339e+03,7.124979e-01,5.271333e-01,1.886529e+01,4.929844e-01,9.470513e+00,8.120650e-01,1.008774e+01
8.000000e+00,2.498903e+03,8.352901e-01,5.272673e-01,1.918374e+01,4.859324e-01,9.483935e+00,8.106144e-01,1.065918e+01
9.000000e+00,2.920816e+03,7.400445e-01,5.271840e-01,2.313049e+01,4.500432e-01,9.554884e+00,7.959846e-01,9.930361e+00
1.000000e+01,2.778869e+03,7.922112e-01,5.271920e-01,1.481797e+01,5.542968e-01,9.346248e+00,8.432215e-01,1.094865e+01
1.100000e+01,2.648409e+03,8.799324e-01,5.272013e-01,1.124280e+01,6.664823e-01,9.171703e+00,9.144198e-01,1.230417e+01
1.200000e+01,2.703331e+03,8.337813e-01,5.272517e-01,2.030031e+01,4.770430e-01,9.490574e+00,8.087807e-01,1.059802e+01
1.300000e+01,3.094011e+03,6.964299e-01,5.271770e-01,1.941920e+01,4.898428e-01,9.483432e+00,8.094240e-01,9.978483e+00
1.400000e+01,2.531106e+03,8.600072e-01,5.272197e-01,2.055106e+01,4.726965e-01,9.515262e+00,8.037560e-01,1.068230e+01
1.500000e+01,3.076475e+03,7.002368e-01,5.271813e-01,1.801894e+01,5.052986e-01,9.460176e+00,8.139694e-01,1.009752e+01
1.600000e+01,2.787031e+03,7.885147e-01,5.272310e-01,1.889682e+01,4.900082e-01,9.468037e+00,8.140262e-01,1.046275e+01
1.700000e+01,3.181227e+03,6.789743e-01,5.271387e-01,2.199119e+01,4.636272e-01,9.533768e+00,7.995685e-01,9.710850e+00
1.800000e+01,3.208647e+03,6.739300e-01,5.271473e-01,1.730445e+01,5.112062e-01,9.426778e+00,8.229061e-01,1.004021e+01
