# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,3.067299e+03,7.022737e-01,5.272130e-01,1.063197e+01,6.924434e-01,9.121504e+00,9.244504e-01,1.159584e+01
2.000000e+00,2.882426e+03,7.521152e-01,5.272390e-01,2.378816e+01,4.452750e-01,9.572841e+00,7.922590e-01,9.948246e+00
3.000000e+00,2.706267e+03,8.318306e-01,5.271620e-01,2.149366e+01,4.653442e-01,9.524214e+00,8.017361e-01,1.049455e+01
4.000000e+00,2.750654e+03,8.059866e-01,5.271350e-01,1.827890e+01,4.995576e-01,9.461122e+00,8.141488e-01,1.059847e+01
5.000000e+00,2.630503e+03,9.022710e-01,5.272263e-01,2.194173e+01,4.609131e-01,9.524820e+00,8.012662e-01,1.082225e+01
6.000000e+00,2.924660e+03,7.388972e-01,5.271790e-01,2.173119e+01,4.628889e-01,9.519127e+00,8.025492e-01,1.002168e+01
7.000000e+00,2.634614e+03,8.965541e-01,5.272163e-01,2.379871e+01,4.449418e-01,9.568416e+00,7.933884e-01,1.067442e+01
8.000000e+00,3.209698e+03,6.737403e-01,5.271210e-01,1.842001e+01,5.025181e-01,9.451516e+00,8.163824e-01,9.963204e+00
9.000000e+00,3.171771e+03,6.807594e-01,5.271770e-01,1.880290e+01,4.961117e-01,9.476804e+00,8.118785e-01,9.943748e+00
1.000000e+01,3.163552e+03,6.823307e-01,5.271973e-01,1.847118e+01,4.971764e-01,9.463059e+00,8.151849e-01,9.973460e+00
1.100000e+01,2.768807e+03,7.969363e-01,5.271380e-01,2.020189e+01,4.748859e-01,9.505507e+00,8.058038e-01,1.038813e+01
1.200000e+01,2.575496e+03,9.115105e-01,5.271350e-01,1.770092e+01,5.034485e-01,9.442766e+00,8.188958e-01,1.116927e+01
1.300000e+01,3.186651e+03,6.779613e-01,5.271717e-01,1.771497e+01,5.096668e-01,9.445508e+00,8.186665e-01,1.003147e+01
1.400000e+01,2.617780e+03,9.236212e-01,5.272600e-01,2.302118e+01,4.520644e-01,9.557121e+00,7.953805e-01,1.085533e+01
1.500000e+01,2.966127e+03,7.271367e-01,5.271227e-01,2.187171e+01,4.621657e-01,9.536564e+00,7.988299e-01,9.940662e+00
1.600000e+01,2.758635e+03,8.019187e-01,5.272060e-01,2.013460e+01,4.741191e-01,9.504065e+00,8.057910e-01,1.040914e+01
1.700000e+01,2.822100e+03,7.738307e-01,5.271670e-01,1.137770e+01,6.553522e-01,9.176173e+00,9.180308e-01,1.173607e+01
