# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.934692e+03,-1.000000e+00,5.271833e-01,1.734302e+01,-1.000000e+00,9.429521e+00,-1.000000e+00,-1.500000e+01
2.000000e+00,2.576574e+03,9.133072e-01,5.272017e-01,1.735457e+01,-1.000000e+00,9.428365e+00,-1.000000e+00,-5.433464e+00
3.000000e+00,2.748406e+03,-1.000000e+00,5.271463e-01,2.446954e+01,-1.000000e+00,9.573871e+00,-1.000000e+00,-1.500000e+01
4.000000e+00,2.529308e+03,-1.000000e+00,5.272267e-01,1.690060e+01,-1.000000e+00,9.414039e+00,-1.000000e+00,-1.500000e+01
5.000000e+00,3.079957e+03,-1.000000e+00,5.271380e-01,1.553788e+01,-1.000000e+00,9.375311e+00,-1.000000e+00,-1.500000e+01
6.000000e+00,3.114069e+03,-1.000000e+00,5.271763e-01,1.566694e+01,-1.000000e+00,9.375356e+00,-1.000000e+00,-1.500000e+01
7.000000e+00,3.126411e+03,-1.000000e+00,5.272483e-01,2.081990e+01,-1.000000e+00,9.509027e+00,-1.000000e+00,-1.500000e+01
8.000000e+00,3.215702e+03,-1.000000e+00,5.271427e-01,1.717360e+01,-1.000000e+00,9.429553e+00,-1.000000e+00,-1.500000e+01
9.000000e+00,3.201348e+03,-1.000000e+00,5.271690e-01,2.325687e+01,-1.000000e+00,9.555655e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,2.643728e+03,8.852021e-01,5.272740e-01,2.236506e+01,-1.000000e+00,9.546237e+00,-1.000000e+00,-5.573990e+00
1.100000e+01,2.698105e+03,-1.000000e+00,5.272137e-01,1.892557e+01,-1.000000e+00,9.471209e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,3.028877e+03,-1.000000e+00,5.271650e-01,2.102427e+01,-1.000000e+00,9.520673e+00,-1.000000e+00,-1.500000e+01
1.300000e+01,2.720639e+03,-1.000000e+00,5.271710e-01,2.300465e+01,-1.000000e+00,9.547461e+00,-1.000000e+00,-1.500000e+01
1.400000e+01,2.798549e+03,-1.000000e+00,5.271690e-01,1.763024e+01,-1.000000e+00,9.441072e+00,-1.000000e+00,-1.500000e+01
1.500000e+01,2.820659e+03,-1.000000e+00,5.271537e-01,9.060515e+00,7.609438e-01,8.997516e+00,8.738575e-01,3.174007e+00
1.600000e+01,3.158219e+03,-1.000000e+00,5.271653e-01,1.152090e+01,6.507410e-01,9.200148e+00,8.997986e-01,2.752698e+00
1.700000e+01,3.199128e+03,-1.000000e+00,5.271473e-01,2.046195e+01,-1.000000e+00,9.505108e+00,-1.000000e+00,-1.500000e+01
1.800000e+01,2.891436e+03,-1.000000e+00,5.271877e-01,2.034469e+01,-1.000000e+00,9.503675e+00,-1.000000e+00,-1.500000e+01
1.900000e+01,2.972697e+03,-1.000000e+00,5.272317e-01,2.209916e+01,-1.000000e+00,9.531323e+00,-1.000000e+00,-1.500000e+01
2.000000e+01,2.949019e+03,-1.000000e+00,5.272073e-01,1.295129e+01,-1.000000e+00,9.269478e+00,8.685544e-01,-5.657228e+00
2.100000e+01,2.634501e+03,8.967055e-01,5.271190e-01,1.090933e+01,6.604015e-01,9.128192e+00,9.318260e-01,1.244466e+01
2.200000e+01,2.928810e+03,-1.000000e+00,5.271780e-01,1.539129e+01,-1.000000e+00,9.369308e+00,-1.000000e+00,-1.500000e+01
2.300000e+01,2.871943e+03,-1.000000e+00,5.271883e-01,1.704318e+01,-1.000000e+00,9.429428e+00,-1.000000e+00,-1.500000e+01
2.400000e+01,2.881359e+03,-1.000000e+00,5.270920e-01,1.542775e+01,-1.000000e+00,9.377768e+00,-1.000000e+00,-1.500000e+01
