# step_count,fitted_elastic_modulus,elastic_modulus_match_degree,average_bond_length,average_persistence_length,persistence_length_match_degree,average_end_to_end_distance,end_to_end_distance_match_degree,reward_value
1.000000e+00,2.438159e+03,-1.000000e+00,5.272130e-01,2.034005e+01,-1.000000e+00,9.493861e+00,-1.000000e+00,-1.500000e+01
2.000000e+00,2.461981e+03,-1.000000e+00,5.271873e-01,1.174284e+01,6.489688e-01,9.194885e+00,9.006703e-01,2.748196e+00
3.000000e+00,2.533968e+03,-1.000000e+00,5.272447e-01,1.221963e+01,6.177294e-01,9.229363e+00,8.878486e-01,2.527890e+00
4.000000e+00,3.133929e+03,-1.000000e+00,5.272070e-01,1.258025e+01,6.113477e-01,9.256704e+00,8.741289e-01,2.427383e+00
5.000000e+00,2.917759e+03,-1.000000e+00,5.271783e-01,2.214577e+01,-1.000000e+00,9.542269e+00,-1.000000e+00,-1.500000e+01
6.000000e+00,2.721171e+03,-1.000000e+00,5.272063e-01,2.105379e+01,-1.000000e+00,9.515778e+00,-1.000000e+00,-1.500000e+01
7.000000e+00,2.912083e+03,-1.000000e+00,5.272063e-01,1.849901e+01,-1.000000e+00,9.461269e+00,-1.000000e+00,-1.500000e+01
8.000000e+00,2.946726e+03,-1.000000e+00,5.271610e-01,1.336625e+01,-1.000000e+00,9.273820e+00,8.664541e-01,-5.667730e+00
9.000000e+00,2.776973e+03,-1.000000e+00,5.270833e-01,2.240619e+01,-1.000000e+00,9.536274e+00,-1.000000e+00,-1.500000e+01
1.000000e+01,2.469726e+03,-1.000000e+00,5.271563e-01,2.323168e+01,-1.000000e+00,9.552353e+00,-1.000000e+00,-1.500000e+01
1.100000e+01,3.140872e+03,-1.000000e+00,5.271887e-01,1.776694e+01,-1.000000e+00,9.431259e+00,-1.000000e+00,-1.500000e+01
1.200000e+01,2.539893e+03,-1.000000e+00,5.272137e-01,1.692259e+01,-1.000000e+00,9.414250e+00,-1.000000e+00,-1.500000e+01
1.300000e+01,2.738071e+03,-1.000000e+00,5.272067e-01,1.489626e+01,-1.000000e+00,9.348820e+00,-1.000000e+00,-1.500000e+01
1.400000e+01,2.974503e+03,-1.000000e+00,5.272007e-01,1.878404e+01,-1.000000e+00,9.476409e+00,-1.000000e+00,-1.500000e+01
1.500000e+01,2.697603e+03,-1.000000e+00,5.272597e-01,1.780759e+01,-1.000000e+00,9.442217e+00,-1.000000e+00,-1.500000e+01
1.600000e+01,2.554681e+03,8.833729e-01,5.272283e-01,1.247408e+01,6.147013e-01,9.234454e+00,8.831498e-01,1.190612e+01
1.700000e+01,3.117482e+03,-1.000000e+00,5.271657e-01,1.432207e+01,-1.000000e+00,9.331329e+00,-1.000000e+00,-1.500000e+01
1.800000e+01,3.041829e+03,-1.000000e+00,5.272607e-01,1.008371e+01,7.239844e-01,9.094558e+00,9.089885e-01,3.164864e+00
1.900000e+01,2.448775e+03,-1.000000e+00,5.272850e-01,2.443758e+01,-1.000000e+00,9.573400e+00,-1.000000e+00,-1.500000e+01
2.000000e+01,3.072956e+03,-1.000000e+00,5.272187e-01,1.140465e+01,6.623198e-01,9.180035e+00,9.075462e-01,2.849330e+00
2.100000e+01,2.883473e+03,-1.000000e+00,5.271807e-01,2.394788e+01,-1.000000e+00,9.562913e+00,-1.000000e+00,-1.500000e+01
2.200000e+01,2.467728e+03,-1.000000e+00,5.272167e-01,2.108705e+01,-1.000000e+00,9.513526e+00,-1.000000e+00,-1.500000e+01
2.300000e+01,2.647890e+03,8.805003e-01,5.271460e-01,1.248057e+01,-1.000000e+00,9.243613e+00,8.813269e-01,3.809136e+00
2.400000e+01,3.163916e+03,-1.000000e+00,5.272127e-01,1.363318e+01,-1.000000e+00,9.297628e+00,8.622738e-01,-5.688631e+00
2.500000e+01,2.810504e+03,-1.000000e+00,5.271867e-01,1.816799e+01,-1.000000e+00,9.449573e+00,-1.000000e+00,-1.500000e+01
2.600000e+01,2.920210e+03,-1.000000e+00,5.271973e-01,9.810755e+00,7.252646e-01,9.045157e+00,8.986433e-01,3.119540e+00
2.700000e+01,2.589182e+03,9.394039e-01,5.271577e-01,2.118901e+01,-1.000000e+00,9.517569e+00,-1.000000e+00,-5.302981e+00
2.800000e+01,3.015680e+03,-1.000000e+00,5.271813e-01,2.125734e+01,-1.000000e+00,9.520835e+00,-1.000000e+00,-1.500000e+01
2.900000e+01,2.879685e+03,-1.000000e+00,5.272083e-01,1.836440e+01,-1.000000e+00,9.463528e+00,-1.000000e+00,-1.500000e+01
3.000000e+01,2.667895e+03,-1.000000e+00,5.271817e-01,2.020699e+01,-1.000000e+00,9.506161e+00,-1.000000e+00,-1.500000e+01
3.100000e+01,2.595421e+03,9.597246e-01,5.271683e-01,2.241651e+01,-1.000000e+00,9.543103e+00,-1.000000e+00,-5.201377e+00
3.200000e+01,3.138754e+03,-1.000000e+00,5.271460e-01,1.986997e+01,-1.000000e+00,9.493588e+00,-1.000000e+00,-1.500000e+01
3.300000e+01,2.976578e+03,-1.000000e+00,5.271983e-01,1.617510e+01,-1.000000e+00,9.398847e+00,-1.000000e+00,-1.500000e+01
3.400000e+01,2.985631e+03,-1.000000e+00,5.271790e-01,1.819270e+01,-1.000000e+00,9.456992e+00,-1.000000e+00,-1.500000e+01
3.500000e+01,3.201101e+03,-1.000000e+00,5.271767e-01,1.667698e+01,-1.000000e+00,9.412117e+00,-1.000000e+00,-1.500000e+01
3.600000e+01,2.546656e+03,-1.000000e+00,5.272347e-01,1.139256e+01,6.491546e-01,9.171642e+00,9.169321e-01,2.830433e+00
3.700000e+01,3.169018e+03,-1.000000e+00,5.271750e-01,1.814009e+01,-1.000000e+00,9.457583e+00,-1.000000e+00,-1.500000e+01
3.800000e+01,2.734021e+03,-1.000000e+00,5.271920e-01,1.982588e+01,-1.000000e+00,9.487253e+00,-1.000000e+00,-1.500000e+01
3.900000e+01,3.076276e+03,-1.000000e+00,5.271590e-01,1.116136e+01,6.574420e-01,9.161606e+00,9.277241e-01,2.925831e+00
4.000000e+01,2.719010e+03,-1.000000e+00,5.270987e-01,1.885290e+01,-1.000000e+00,9.471463e+00,-1.000000e+00,-1.500000e+01
4.100000e+01,2.623310e+03,9.135049e-01,5.272570e-01,1.386502e+01,-1.000000e+00,9.307865e+00,8.554027e-01,3.844538e+00
4.200000e+01,2.789312e+03,-1.000000e+00,5.271857e-01,1.326816e+01,-1.000000e+00,9.285109e+00,8.650613e-01,-5.674693e+00
4.300000e+01,2.773851e+03,-1.000000e+00,5.271380e-01,2.094808e+01,-1.000000e+00,9.516946e+00,-1.000000e+00,-1.500000e+01
4.400000e+01,2.562504e+03,8.927852e-01,5.271470e-01,2.424857e+01,-1.000000e+00,9.568363e+00,-1.000000e+00,-5.536074e+00
4.500000e+01,2.642078e+03,8.871417e-01,5.271633e-01,1.021382e+01,7.264367e-01,9.092909e+00,9.104536e-01,1.262016e+01
4.600000e+01,2.474948e+03,-1.000000e+00,5.271913e-01,1.999422e+01,-1.000000e+00,9.496874e+00,-1.000000e+00,-1.500000e+01
