#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
819,8.266907e+01,-7.062460e-01,-1.602860e-01,-7.485896e-01,1.062931e-01,-7.253457e-01,-8.369259e-02,4.978318e-02,5.916645e-01,-6.613479e-01,-5.224207e-01,7.501880e-01,2.536016e-01
820,8.879546e+01,-7.158172e-01,-4.301468e-02,-8.343287e-01,1.706534e-01,-7.436269e-01,1.103341e-01,6.403670e-02,5.337203e-01,-5.570629e-01,-3.821243e-01,9.095698e-01,3.032895e-01
821,8.349466e+01,-7.367134e-01,-1.909373e-01,-8.232947e-01,-7.925576e-02,-5.199805e-01,-1.940045e-01,1.065785e-01,4.845417e-01,-6.496417e-01,-5.736922e-01,7.095005e-01,1.709489e-01
822,8.329784e+01,-6.078143e-01,-1.029306e-01,-9.054915e-01,8.436166e-02,-7.660052e-01,-3.570528e-02,3.657793e-02,4.434431e-01,-6.102175e-01,-4.942577e-01,8.781507e-01,1.725694e-01
823,7.382341e+01,-5.778050e-01,-1.296673e-01,-9.299859e-01,6.925303e-02,-6.243386e-01,-1.012353e-01,-3.221850e-02,4.884799e-01,-6.137194e-01,-4.764382e-01,7.265445e-01,1.819450e-01
824,8.083194e+01,-6.382064e-01,-6.918769e-02,-9.427136e-01,3.135697e-02,-6.257170e-01,2.616202e-01,-1.725461e-01,4.535213e-01,-4.315511e-01,-6.311895e-01,7.314090e-01,1.545332e-01
825,9.192460e+01,-6.542986e-01,-2.252937e-01,-9.240518e-01,-3.810895e-02,-5.608219e-01,9.013531e-02,-2.430492e-01,3.092293e-01,-3.973038e-01,-7.308372e-01,6.454649e-01,1.451197e-01
826,8.867884e+01,-8.062400e-01,-9.849077e-02,-9.306323e-01,8.657594e-03,-7.529040e-01,5.789709e-02,3.284833e-02,4.357249e-01,-4.669691e-01,-7.027491e-01,6.769658e-01,2.925009e-01
827,8.487484e+01,-4.860718e-01,-1.023628e-01,-9.357918e-01,7.853834e-02,-5.909794e-01,1.283327e-01,-6.005011e-02,5.807936e-01,-5.383309e-01,-5.187810e-01,7.271075e-01,1.606172e-01
828,8.945127e+01,-5.779005e-01,-1.835071e-01,-9.376142e-01,7.701554e-02,-5.279109e-01,9.938291e-02,-2.063562e-01,5.122977e-01,-3.252720e-01,-7.049821e-01,8.674822e-01,-3.678083e-02
829,9.055319e+01,-7.286240e-01,-2.257673e-01,-9.361186e-01,-1.623452e-02,-6.703655e-01,5.883899e-02,-3.846845e-02,4.967986e-01,-4.882395e-01,-7.058576e-01,8.418995e-01,1.518572e-01
830,8.289448e+01,-8.016771e-01,-1.517363e-02,-9.640757e-01,2.221392e-02,-6.734289e-01,-1.591609e-02,1.085346e-02,4.439091e-01,-4.276788e-01,-6.702691e-01,7.941878e-01,2.398746e-01
831,8.519928e+01,-5.492351e-01,-1.133741e-01,-8.135045e-01,3.969365e-02,-7.836031e-01,2.513133e-01,1.038904e-01,2.942122e-01,-6.146557e-01,-5.687868e-01,7.701450e-01,1.661578e-01
832,8.252533e+01,-6.560170e-01,-8.019698e-02,-9.436365e-01,9.628301e-02,-7.044618e-01,1.761947e-01,-1.480008e-01,5.621539e-01,-5.854565e-01,-4.546515e-01,7.930284e-01,1.919888e-01
833,8.783751e+01,-7.061427e-01,-1.668933e-01,-8.187828e-01,1.660482e-01,-7.386077e-01,6.027318e-02,1.009021e-01,5.489324e-01,-6.130599e-01,-6.195718e-01,8.150733e-01,2.618267e-01
834,8.740574e+01,-8.069630e-01,-1.087284e-01,-9.849487e-01,6.947515e-02,-7.199229e-01,-7.354304e-03,-6.347105e-02,5.809178e-01,-6.269568e-01,-3.941038e-01,7.847770e-01,2.796821e-01
835,8.591472e+01,-6.727589e-01,-2.041306e-01,-8.109203e-01,4.639083e-02,-8.387730e-01,-2.987902e-02,-4.788106e-02,5.244003e-01,-5.301952e-01,-3.561636e-01,6.917021e-01,2.756012e-01
836,8.635193e+01,-7.388530e-01,-1.393739e-01,-8.690212e-01,1.000209e-01,-8.410385e-01,1.473947e-02,8.594902e-02,3.851735e-01,-7.225898e-01,-4.697599e-01,8.191399e-01,3.580472e-01
837,8.379132e+01,-6.732265e-01,-1.831805e-01,-7.698816e-01,1.374903e-01,-6.283084e-01,-2.072774e-02,5.431318e-02,4.940944e-01,-5.338047e-01,-4.587372e-01,9.078776e-01,3.297737e-01
838,8.741899e+01,-7.258177e-01,-8.214601e-02,-9.132478e-01,3.606287e-02,-5.577238e-01,5.316564e-02,-4.132203e-02,5.488332e-01,-4.499763e-01,-8.332076e-01,6.756786e-01,1.252531e-01
839,8.461200e+01,-7.392577e-01,-2.863369e-01,-8.803166e-01,2.586190e-02,-6.983338e-01,6.412579e-02,-2.509195e-01,5.571398e-01,-3.835687e-01,-7.952380e-01,8.024066e-01,9.313936e-02
840,9.197650e+01,-7.030621e-01,-3.892624e-01,-9.613216e-01,-4.526346e-02,-7.289214e-01,1.024889e-01,-2.833947e-01,5.374721e-01,-3.946004e-01,-6.072095e-01,8.759285e-01,1.236939e-01
