#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
27,3.188955e+01,-2.151591e-01,-7.740060e-02,-1.726357e-01,3.077166e-01,-2.735121e-01,2.088426e-01,-6.608775e-01,-3.311300e-01,9.062474e-02,-5.911857e-01,8.192416e-01,-2.148118e-01
28,2.620798e+01,-2.567183e-01,3.528381e-02,9.974858e-02,-3.499602e-01,-1.930189e-01,-4.006772e-02,-3.725785e-01,-6.045513e-01,2.088582e-01,-2.820596e-01,-1.024841e-01,1.009195e-01
29,2.057725e+01,2.039903e-01,-2.797613e-01,7.692390e-02,1.911499e-01,-6.290588e-01,4.991976e-01,-7.411653e-01,4.003503e-01,-1.460905e-02,-4.171110e-01,4.174977e-01,2.405987e-01
30,3.117898e+01,-6.026214e-02,4.960225e-01,1.325831e-01,-2.422037e-01,-8.185037e-01,-5.002538e-02,-4.663611e-01,-2.179053e-01,3.018873e-01,-4.332611e-01,4.243725e-01,-1.938685e-01
31,1.675151e+01,1.605302e-01,-1.068653e-01,3.068049e-01,-8.645156e-02,-3.196256e-01,6.062128e-01,-8.066524e-01,5.521283e-02,-1.604581e-01,8.020779e-02,-2.479119e-02,-3.575564e-01
32,2.703477e+01,8.243658e-02,3.592827e-01,-1.105364e-01,2.479654e-01,-2.584761e-01,9.929855e-02,-5.076802e-01,-1.966867e-01,-5.883944e-01,-7.902026e-01,9.941877e-02,3.452606e-03
33,2.356694e+01,2.057125e-01,-7.489605e-02,2.363664e-01,1.789853e-02,4.101889e-02,-1.314736e-01,-2.829171e-01,-4.821100e-01,4.604892e-01,-8.906666e-01,1.679475e-01,-1.121237e-01
34,1.991586e+01,2.130941e-01,2.554186e-01,-7.126452e-02,-6.018007e-01,-1.183012e-01,-2.823156e-02,-7.437967e-01,1.748823e-01,-4.234938e-02,-3.410608e-01,6.837406e-01,-3.536331e-01
35,8.103487e+01,-2.174702e-01,3.046309e-01,3.916588e-01,2.215421e-02,-4.305119e-01,4.087103e-01,-6.147335e-01,2.915894e-01,-1.849879e-01,-4.961861e-01,5.858881e-01,-1.538566e-01
36,2.320794e+01,5.746323e-01,8.206439e-01,-1.562676e-01,-5.255148e-02,-5.548148e-01,1.408793e-01,-7.074479e-02,-2.166355e-01,-6.448226e-01,-7.335410e-01,4.527114e-01,-6.598274e-01
37,2.345916e+01,-1.026108e-01,9.061252e-01,-5.312563e-01,-1.017343e-01,-3.678346e-01,-6.786820e-02,-4.353196e-01,4.314531e-02,-1.960387e-01,-4.121789e-01,4.427654e-01,-4.063325e-01
38,2.546453e+01,8.683538e-01,1.041172e-01,3.505020e-01,5.737953e-03,-5.103982e-01,-2.386480e-01,-1.263432e-01,-4.064792e-01,-3.549298e-01,-2.934001e-01,4.446214e-01,1.061550e-01
39,2.679784e+01,7.644023e-01,5.344847e-01,-2.942910e-02,3.300568e-01,-3.231201e-01,-9.203443e-02,-6.802616e-01,3.696749e-01,3.823772e-02,-2.893233e-01,4.720342e-01,-6.710121e-02
40,3.174321e+01,2.318981e-01,2.542119e-01,-8.063718e-02,3.211227e-01,-8.336054e-01,6.523892e-02,1.271697e-01,-1.838415e-01,3.703315e-01,-6.134133e-01,3.084390e-01,-4.645859e-01
41,2.733632e+01,1.347820e-01,1.446773e-01,4.044372e-03,7.163044e-02,-6.471186e-01,-2.347508e-01,-6.167448e-01,-3.820095e-01,1.879494e-01,-8.737157e-01,6.237265e-01,-1.296680e-01
42,8.335166e+01,5.094881e-01,3.941634e-01,3.382455e-02,-1.672191e-01,-5.807961e-01,1.217072e-01,-7.512038e-01,1.512321e-01,-1.754669e-01,-4.161697e-01,4.673189e-01,-1.998931e-01
43,6.079473e+01,5.056131e-01,1.087087e-01,-2.886775e-02,-4.323460e-01,-1.668047e-02,3.249353e-01,-4.045731e-01,-1.262731e-01,1.078307e-01,-4.415143e-01,1.040847e-01,2.309106e-03
44,3.238044e+01,-2.592812e-01,1.683930e-02,-7.963781e-02,-4.237696e-02,-3.500748e-01,-1.858129e-01,-2.116266e-01,3.151719e-01,-3.936143e-01,-8.185024e-01,4.063445e-01,-1.707950e-01
45,5.331132e+00,2.025416e-01,2.808060e-01,-4.237284e-02,-6.224456e-01,-2.880903e-01,1.179144e-01,-5.370370e-01,4.375498e-02,-6.118778e-02,-3.064913e-01,2.493461e-01,-2.957481e-01
46,1.137957e+01,3.202437e-01,2.203288e-01,-4.751916e-01,-5.035482e-01,-4.666556e-01,1.278152e-01,-7.671956e-01,1.769094e-02,5.778027e-02,-8.199274e-01,4.476098e-01,9.060769e-02
47,1.776532e+01,-1.659779e-01,1.168578e-01,1.372771e-01,-4.228449e-04,-5.404406e-01,2.986199e-01,-3.731661e-01,-2.703842e-01,6.221907e-02,-1.505994e-01,-8.442660e-02,1.468408e-01
48,2.646674e+01,-1.590375e-01,2.126952e-01,7.613735e-01,-1.874219e-01,-5.586027e-01,1.240667e-01,-7.974301e-01,-5.962077e-02,2.285787e-02,-4.869801e-01,7.030155e-02,-2.109434e-01
49,2.126556e+01,4.091658e-01,2.823168e-01,-4.469399e-02,3.362366e-01,-2.909670e-01,4.216537e-02,-8.956422e-01,2.838893e-01,-5.336138e-01,-5.001932e-01,3.548624e-01,-1.491041e-01
50,3.260889e+01,3.875657e-01,-7.555056e-02,5.022366e-01,2.020998e-02,-4.392935e-01,2.439220e-01,-3.826464e-01,-4.617757e-01,-3.528064e-01,-5.708198e-01,1.748063e-01,-2.686828e-01
51,2.612310e+01,4.328544e-01,6.266798e-01,-1.237203e-01,-3.127053e-01,-5.137823e-01,3.879382e-01,-1.904885e-01,2.301867e-01,3.895093e-01,-2.573663e-01,5.938005e-01,-1.046628e-01
52,2.619167e+01,2.067617e-01,1.663713e-01,-9.471788e-02,1.533115e-01,-8.377169e-01,8.365702e-02,-4.074012e-01,-2.676629e-01,2.805308e-02,-1.242722e-01,1.353301e-01,2.716724e-01
53,2.172312e+01,6.066617e-01,1.881160e-01,2.694148e-01,-3.254585e-02,-6.248673e-01,7.055872e-02,-5.224551e-01,-2.502730e-01,-3.754445e-01,-8.539600e-01,7.509478e-01,-4.605322e-02
54,2.058270e+01,4.382041e-01,8.229236e-01,-4.110017e-01,-2.423607e-01,-5.906738e-01,1.480311e-01,-9.046318e-01,1.892297e-01,-4.706902e-01,-5.363742e-01,8.231972e-01,-3.484531e-01
55,2.014872e+01,7.498947e-01,3.088494e-03,1.154944e-01,-5.327183e-01,-7.664492e-01,1.378903e-01,-2.819647e-01,-3.707213e-02,-4.832759e-01,-5.912682e-01,6.945068e-01,-4.274117e-01
56,2.644056e+01,-5.054839e-01,-2.024084e-01,4.474842e-01,3.102797e-02,-3.890064e-01,8.096117e-01,-2.695995e-01,1.562670e-01,-1.500871e-01,-5.273106e-01,8.895450e-02,-5.384699e-01
57,3.258478e+01,3.969240e-02,5.742518e-01,-2.130117e-01,-3.110245e-01,-2.749543e-01,-1.269295e-01,-4.097661e-01,-4.174477e-01,1.124244e-01,-3.354404e-01,4.377856e-01,2.713061e-01
58,2.107821e+01,6.475712e-01,1.180091e-01,6.043189e-01,-4.520609e-01,-7.961556e-01,-1.052361e-03,-9.157561e-01,-4.592619e-01,-3.777398e-01,-6.940504e-01,4.929211e-01,-1.846527e-01
59,2.684643e+01,7.148792e-01,-1.892958e-01,1.784405e-02,1.647878e-01,-2.652334e-01,2.143225e-01,-5.990507e-01,-1.442011e-02,8.099727e-02,-1.598189e-01,2.927306e-01,-2.974551e-01
60,2.626113e+01,4.119976e-01,4.311896e-01,6.373542e-01,-1.582056e-01,-6.954893e-01,7.273885e-01,-9.069989e-01,-5.105819e-01,4.070591e-02,-4.226740e-01,3.404975e-01,-2.120655e-02
61,2.774954e+01,4.116341e-01,2.539255e-01,9.459856e-01,2.473482e-02,-6.443453e-01,2.445522e-01,-3.830626e-01,3.859937e-01,-1.537629e-01,-5.967777e-01,4.122335e-01,-3.445253e-01
62,2.468552e+01,-4.435580e-01,-2.444840e-01,3.848686e-01,-5.963126e-01,-9.140821e-01,1.390860e-01,-5.856042e-01,-4.145426e-01,2.357893e-02,-7.037394e-01,-1.204977e-01,1.917024e-01
