#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
27,5.773208e+01,-7.926143e-01,-5.001990e-01,-7.914739e-01,-1.615621e-01,6.728282e-01,-6.128665e-01,-3.110487e-01,-7.442616e-01,9.880505e-01,5.302250e-01,-6.038530e-01,-6.916464e-01
28,7.009938e+01,1.192154e-01,-2.060758e-01,1.316487e-01,-8.150743e-01,-2.117315e-01,-8.484902e-01,1.955368e-01,9.244041e-02,8.770992e-01,-4.125646e-01,-9.898119e-01,7.452373e-01
29,6.499603e+01,-3.755803e-01,-9.506273e-01,4.492838e-01,-5.473590e-01,1.141272e-01,-4.738278e-01,-5.645465e-01,-5.610733e-01,6.164330e-01,7.757258e-01,5.508355e-01,-1.280331e-01
30,5.501042e+01,2.986211e-01,3.833305e-01,-9.029582e-02,-7.370183e-01,7.966361e-01,-9.028420e-02,-1.681502e-02,-8.251453e-01,-1.598167e-01,2.021277e-01,-5.873665e-03,-8.382536e-01
31,5.919946e+01,4.706943e-01,-2.319758e-01,1.411317e-01,-8.401036e-01,-2.232843e-01,-8.420266e-01,2.427453e-01,1.658531e-01,8.432117e-01,-4.142523e-01,-9.967418e-01,7.437756e-01
32,7.026308e+01,1.701735e-02,1.744197e-02,-5.665510e-03,-8.921789e-01,-1.590588e-01,-6.927076e-01,7.704432e-02,8.148842e-02,8.564954e-01,-5.067890e-01,-4.464883e-01,2.770481e-01
33,4.786459e+01,-4.944335e-02,-1.896546e-02,-8.264877e-02,9.582380e-01,-6.334082e-02,-7.265348e-01,3.584306e-02,4.969815e-01,8.559689e-01,-5.162829e-01,-5.082816e-01,2.550400e-01
34,5.107616e+01,-6.497304e-01,1.737623e-01,5.167473e-02,-9.926591e-01,6.050506e-01,-9.980553e-01,4.843819e-01,7.934610e-03,6.485808e-01,-7.505258e-02,-1.563432e-01,1.771209e-01
35,6.023059e+01,-5.239209e-01,3.032223e-01,-2.271198e-01,-6.472456e-01,-7.641704e-01,1.717057e-01,-8.593555e-01,3.650035e-01,5.275341e-01,3.225316e-02,2.213798e-01,3.842728e-01
36,6.557820e+01,5.395464e-02,4.609481e-01,7.188593e-01,7.469697e-01,-2.990028e-01,-4.306020e-01,3.453216e-01,6.123390e-01,2.170542e-01,-2.438462e-01,6.419145e-01,-1.225984e-01
37,5.891726e+01,4.126639e-01,-1.113179e-01,8.229520e-01,-8.988781e-01,8.593492e-01,-6.362175e-01,-3.343833e-01,-1.989783e-01,4.579491e-01,-5.557998e-01,4.544138e-01,-5.668294e-01
38,5.936968e+01,6.507876e-01,5.876669e-01,5.599652e-01,-4.441261e-01,1.415381e-01,-1.755052e-01,6.887313e-02,9.012988e-01,8.612002e-01,2.362454e-01,8.469562e-01,5.340673e-01
39,6.116457e+01,-1.180337e-01,2.091740e-01,-1.214702e-04,1.767623e-01,-1.350504e-01,-8.684235e-01,-8.249279e-01,-4.289811e-01,-6.757137e-01,4.641462e-01,2.888780e-02,-1.945710e-02
40,6.619460e+01,-8.488892e-01,7.781500e-02,3.059435e-01,-6.016866e-01,-2.645282e-03,5.277543e-01,-8.926111e-02,-6.540350e-01,4.255720e-01,-9.020677e-01,4.220518e-01,-6.803839e-01
41,6.701170e+01,1.067136e-01,-2.839700e-02,4.252239e-01,-7.352333e-01,-3.777885e-01,-8.781772e-01,3.310462e-01,9.913145e-02,8.398113e-01,-3.357211e-01,-5.823304e-01,7.286466e-01
42,6.275977e+01,2.617441e-01,-2.611578e-01,1.626818e-01,-8.129036e-01,-4.189076e-01,-7.631352e-01,1.174592e-01,-3.053087e-02,8.886945e-01,-6.013007e-01,-9.913492e-01,6.257911e-01
43,6.431984e+01,-3.273879e-01,-1.606575e-01,-4.444684e-01,-9.008961e-01,-1.695805e-01,-5.606423e-01,4.435871e-01,8.905323e-02,5.875145e-01,-7.630914e-01,-6.499612e-01,8.407026e-01
44,5.221550e+01,-6.540633e-01,-3.360355e-01,-1.343887e-02,-7.833096e-01,-6.629417e-01,-4.310876e-01,6.752352e-01,4.402241e-01,9.112112e-01,-4.928301e-01,-8.045865e-01,5.460334e-01
45,5.703118e+01,8.721068e-01,3.300346e-01,-7.383353e-01,-6.595345e-01,-3.090160e-01,-9.060176e-01,2.385948e-01,2.594706e-01,6.849077e-01,-1.327001e-01,-8.909393e-01,4.769153e-02
46,4.209724e+01,2.092435e-01,-6.653753e-02,8.702353e-01,-4.459255e-01,-5.239835e-01,-7.108421e-01,1.810706e-01,1.561457e-01,7.851714e-01,8.831122e-02,-3.573814e-01,4.234208e-01
47,5.440849e+01,5.693987e-02,-4.445405e-01,-2.333722e-01,6.787177e-01,3.110287e-02,-9.972950e-01,-5.888597e-02,-1.561225e-01,9.667119e-01,-6.375836e-01,-1.552293e-01,-8.677123e-01
48,5.159165e+01,-1.430794e-01,-8.176671e-01,6.131919e-01,-2.110380e-01,2.198385e-01,-7.888528e-01,-2.162641e-01,-9.930710e-01,5.650194e-01,-3.021585e-01,-4.836858e-01,-2.251922e-01
49,5.606175e+01,3.548898e-01,1.017128e-01,9.956769e-02,-3.304196e-02,5.576721e-01,-5.845266e-01,5.928718e-01,-5.122120e-02,7.065982e-01,-4.398894e-02,-7.120084e-01,-9.873047e-01
50,6.431515e+01,-5.538729e-01,-1.167463e-01,2.711019e-01,-9.139628e-01,8.649603e-01,-7.008533e-01,1.163274e-01,7.650375e-01,7.918543e-01,2.877971e-01,2.450329e-01,1.942231e-01
51,6.553567e+01,-2.733240e-01,-2.932331e-01,-6.877964e-01,4.597854e-01,4.068457e-01,-4.037140e-01,-7.724291e-01,-3.232592e-01,9.923799e-01,3.909556e-01,3.617596e-01,-4.327809e-01
52,7.019454e+01,-1.782545e-01,-4.976518e-01,-6.191769e-01,3.558834e-01,6.456720e-01,-5.234897e-01,-9.325482e-01,-2.515994e-01,7.243063e-01,4.313280e-01,5.910186e-01,-3.695278e-01
53,6.989016e+01,-5.753287e-03,-5.299479e-01,-8.792004e-01,5.104389e-01,6.953776e-01,-9.008328e-01,-9.183983e-01,-6.492621e-01,8.866425e-01,6.416671e-01,9.896751e-01,-3.126284e-01
54,6.029219e+01,-1.595649e-01,-6.465241e-01,-5.869288e-01,1.004712e-01,8.789824e-01,-8.069181e-01,-5.997643e-01,-2.419900e-01,6.969658e-01,4.655076e-01,5.872901e-01,-3.411869e-02
55,7.866847e+01,-9.009013e-01,-7.090804e-01,-4.378669e-01,3.347146e-01,-2.226464e-01,-5.065455e-01,-9.030773e-01,-5.080612e-01,9.258945e-01,-4.421286e-01,6.918161e-01,-5.709170e-01
56,7.334970e+01,-8.400141e-01,-7.554848e-01,-4.572135e-01,2.972907e-01,5.360076e-01,-4.936449e-01,-9.730080e-01,-4.870371e-01,7.806554e-01,-8.460292e-01,7.029633e-01,-5.398792e-01
57,7.541033e+01,-9.403413e-01,-7.266858e-01,-4.775350e-01,2.245461e-01,5.079529e-01,-2.360860e-01,-7.911142e-01,-4.941609e-01,7.980959e-01,-8.310471e-01,8.867183e-01,-5.404145e-01
58,7.186675e+01,-9.182944e-01,-7.198153e-01,-4.466724e-01,2.422799e-01,5.095794e-01,6.386120e-02,-7.485595e-01,-5.030791e-01,3.900575e-01,-8.597540e-01,8.868711e-01,-5.501632e-01
59,6.300284e+01,-9.169873e-01,-7.379207e-01,-4.545610e-01,1.772397e-01,3.327692e-01,6.469981e-02,-9.945020e-01,-5.140562e-01,2.176921e-01,-8.576226e-01,8.914480e-01,-5.227508e-01
60,8.331677e+01,-9.986720e-01,-8.511372e-01,-3.613425e-01,5.975537e-02,5.145020e-01,4.870838e-02,-8.948996e-01,-8.345424e-01,3.760267e-01,-6.960811e-01,7.697118e-01,-7.426371e-01
61,7.791677e+01,-9.749580e-01,-8.941825e-01,-3.624706e-01,5.186402e-02,5.072258e-01,1.838429e-02,-7.472612e-01,-7.994862e-01,-2.411503e-02,-9.948795e-01,7.356175e-01,-7.274750e-01
